序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
250,000806,消费服务,8444.08,-1.03,-87.84,48007164,130991828894.0,0.85,8500.27,8427.97,8484.87,8531.92,0.73
251,000096,上证下游,4264.66,-1.03,-44.42,40521413,90801516533.0,1.1,4302.96,4255.63,4294.89,4309.08,0.75
252,000685,科创芯片,2834.43,-1.1,-31.55,4449653,59615093016.0,2.26,2876.22,2811.38,2826.09,2865.98,0.7
253,000942,内地消费,10143.99,-1.12,-114.96,9838136,58268815775.0,1.53,10272.71,10115.7,10224.25,10258.95,0.74
254,000994,全指通信,11573.36,-1.16,-136.39,60078031,167120491180.0,3.3,11817.16,11430.66,11568.05,11709.75,0.81
255,000932,中证消费,15333.48,-1.19,-185.13,8850853,34940310666.2,1.62,15553.18,15301.87,15454.84,15518.61,0.62
256,000936,800通信,10415.09,-1.19,-125.82,53295987,146383096885.0,3.23,10629.53,10289.53,10417.84,10540.91,0.81
257,000111,380信息,10734.08,-1.24,-135.14,6998801,36017693329.0,2.09,10916.41,10688.96,10742.35,10869.22,0.75
258,000074,消费等权,7323.36,-1.26,-93.6,5081329,25951832719.0,1.48,7423.2,7313.73,7378.31,7416.96,0.74
259,000695,科长三角,1128.33,-1.3,-14.91,6752315,40519611689.0,2.14,1146.03,1121.53,1127.7,1143.24,0.73
260,000036,上证消费,11158.88,-1.31,-147.61,5081329,25951832719.0,1.74,11328.51,11132.27,11258.35,11306.49,0.74
261,000990,全指消费,12877.59,-1.36,-177.64,10252340,39665084675.0,1.75,13089.94,12862.1,13005.18,13055.23,0.63
262,000815,细分食品,19132.21,-1.59,-309.16,8337358,34857996418.0,1.99,19508.3,19120.66,19389.73,19441.37,0.81
263,000807,食品饮料,18690.63,-1.65,-314.53,7572937,35251645642.0,2.04,19077.05,18689.55,18954.92,19005.16,0.77
264,000006,地产指数,4396.95,-1.78,-79.47,10069351,5582297494.8,1.59,4466.89,4395.56,4452.32,4476.42,0.69
265,000912,300消费,21419.93,-1.91,-417.24,2906950,26548199226.0,2.64,21954.17,21377.35,21793.54,21837.17,0.66
266,000948,内地地产,2734.51,-2.01,-55.95,7832172,4802241134.0,1.56,2776.36,2732.69,2768.71,2790.46,0.69
267,000952,300地产,2647.16,-2.11,-57.07,5462022,3362057501.0,1.72,2691.27,2644.63,2680.1,2704.23,0.71
268,000916,300通信,5527.54,-2.6,-147.7,11513012,70808342894.0,3.45,5667.46,5471.89,5595.03,5675.24,0.66
