代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sh000992,全指金融,5821.7584,-40.171,-0.685,5861.9296,5835.8151,5858.8716,5798.4406,84678695,79512248763
sh000993,全指信息,8740.8183,-49.19,-0.56,8790.0079,8690.9027,8855.8352,8631.1637,55225498,233009690793
sz399001,深证成指,13906.734,-45.978,-0.33,13952.712,13801.031,14065.776,13726.859,73034954834,1247064306607
sz399002,深成指R,18677.732,-61.752,-0.33,18739.484,18535.766,18891.338,18436.148,24682637593,591273520203
sz399003,成份Ｂ指,8241.117,-7.719,-0.094,8248.836,8252.465,8260.344,8185.682,9042078,46925983
sz399004,深证100R,8204.988,-52.77,-0.639,8257.758,8174.408,8292.904,8136.807,4765353986,208715114762
sz399005,中小100,8447.985,23.991,0.285,8423.994,8339.255,8535.403,8293.78,5172708660,137272319136
sz399006,创业板指,3236.464,-23.814,-0.73,3260.278,3222.884,3288.032,3199.144,20940122955,560718182598
sz399007,深证300,5805.37,-24.381,-0.418,5829.751,5765.104,5869.88,5732.405,15451794537,427984805749
sz399008,中小300,1710.59,4.885,0.286,1705.705,1688.423,1729.505,1678.646,14652702326,254656929862
sz399009,深证200,5705.176,-1.054,-0.018,5706.23,5632.667,5775.582,5589.42,10686440551,219269690987
sz399010,深证700,9417.7,-8.275,-0.088,9425.975,9334.212,9541.543,9289.229,21760854451,375006834778
sz399011,深证1000,6771.487,-21.291,-0.313,6792.778,6720.368,6851.042,6684.12,37212648988,802991640527
sz399012,创业300,4603.818,-28.456,-0.614,4632.274,4581.498,4672.85,4550.631,8639921306,335755734130
sz399013,深市精选,5723.266,-1.047,-0.018,5724.313,5670.653,5779.001,5645.301,15554034674,351464017904
sz399015,中小创新,3125.294,-7.561,-0.241,3132.855,3102.426,3166.6,3085.175,12530011395,211718120324
sz399016,深证创新,6089.072,-15.206,-0.249,6104.278,6055.479,6163.106,6013.964,2462669582,162608353672
sz399017,SME创新,5137.235,11.74,0.229,5125.495,5081.033,5199.14,5056.333,3030648172,105541900429
sz399018,创业创新,6392.838,-20.776,-0.324,6413.614,6356.423,6475.16,6316.345,2201121000,141060393378
sz399019,创业200,4722.216,-15.453,-0.326,4737.669,4691.458,4791.922,4658.54,4958703082,109004593803
sz399020,创业小盘,1922.845,1.702,0.089,1921.143,1906.25,1948.126,1894.972,4272838448,90894145354
sz399030,碳科技30,4579.417,37.208,0.819,4542.209,4486.267,4634.867,4455.149,985138311,59382935918
sz399050,创新引擎,3027.462,-2.072,-0.068,3029.534,3007.363,3057.692,2986.208,2120067540,64262862017
sz399060,碳科技60,3505.2,13.004,0.372,3492.196,3455.588,3537.713,3439.263,3173262282,119415678473
sz399088,深创100,5046.087,-19.313,-0.381,5065.4,5015.577,5106.004,4991.269,2591994223,139381020884
sz399100,新指数,12467.386,-8.453,-0.068,12475.839,12358.865,12599.075,12302.748,71256684511,1236257186070
sz399101,中小综指,15242.396,68.629,0.452,15173.767,15037.506,15395.168,14972.136,32984907093,465031413388
sz399102,创业板综,4065.392,-11.035,-0.271,4076.427,4038.031,4118.308,4015.415,20940122955,560718182598
sz399103,乐富指数,9219.435,-48.604,-0.524,9268.039,9166.352,9287.897,9131.861,70534408048,158621544961
sz399106,深证综指,2649.572,-1.083,-0.041,2650.655,2626.024,2677.447,2614.215,73034954834,1247064306607
sz399107,深证Ａ指,2772.404,-1.135,-0.041,2773.539,2747.746,2801.601,2735.384,72998157706,1246985376230
sz399108,深证Ｂ指,1244.362,0.006,0.0,1244.356,1242.644,1245.473,1234.538,36797128,78930378
sz399231,农林指数,1342.286,-3.407,-0.253,1345.693,1333.916,1352.78,1333.916,778654101,7945279739
sz399232,采矿指数,4985.028,48.308,0.979,4936.72,4717.397,5061.31,4702.883,1615576151,38355843269
sz399233,制造指数,3630.9,2.343,0.065,3628.557,3593.471,3672.055,3578.442,45495691190,904108679040
sz399234,水电指数,1007.279,8.332,0.834,998.947,992.71,1014.103,990.315,1770182087,12490414039
sz399235,建筑指数,1116.069,-15.38,-1.359,1131.449,1120.898,1129.14,1110.868,886576749,8086857122
sz399236,批零指数,1571.528,-15.019,-0.947,1586.547,1575.759,1589.103,1563.639,2359371457,25171715680
sz399237,运输指数,1111.646,-8.64,-0.771,1120.286,1115.387,1118.103,1108.194,570822426,6192914789
sz399239,IT指数,2203.299,-12.096,-0.546,2215.395,2194.141,2234.437,2167.157,6849151487,120611236477
sz399240,金融指数,1584.609,-16.143,-1.008,1600.752,1593.177,1600.781,1584.609,1582860838,20679414405
sz399241,地产指数,1285.827,-14.799,-1.138,1300.626,1291.966,1299.968,1278.387,1645949246,8037059315
sz399242,商务指数,1677.113,-22.728,-1.337,1699.841,1679.442,1710.776,1651.265,3791493784,39517966186
sz399243,科研指数,1570.023,-0.399,-0.025,1570.422,1559.101,1586.244,1549.815,668616522,11921920772
sz399244,公共指数,651.027,0.869,0.134,650.158,648.599,656.449,644.787,825879329,6742695533
sz399248,文化指数,1025.839,-11.908,-1.147,1037.747,1028.755,1045.815,997.581,1513701554,17238289541
