index_code,stock_code,weight
930651,300017,2.232
930651,300033,4.11
930651,300253,1.073
930651,300339,2.182
930651,300383,1.21
930651,300442,3.665
930651,300454,2.222
930651,300496,1.519
930651,300803,2.439
930651,300857,3.027
930651,301236,1.757
930651,301308,3.087
930651,600100,1.199
930651,600131,0.637
930651,600536,1.385
930651,600570,2.579
930651,600588,1.706
930651,600602,0.749
930651,600845,1.076
930651,601360,2.328
930651,603019,7.198
930651,603296,1.925
930651,603613,0.749
930651,603881,0.887
930651,66,1.683
930651,688088,0.674
930651,688111,4.275
930651,688318,0.567
930651,688343,1.263
930651,688475,0.264
930651,688561,0.556
930651,688568,1.565
930651,688615,1.07
930651,688692,0.877
930651,938,2.745
930651,977,3.543
930651,997,1.062
930652,000021,0.598
930652,000066,0.518
930652,000100,1.701
930652,000725,2.706
930652,000977,1.09
930652,000988,1.312
930652,000997,0.327
930652,002049,0.964
930652,002130,0.573
930652,002138,0.536
930652,002152,0.27
930652,002156,1.066
930652,002180,0.355
930652,002185,0.656
930652,002236,0.63
930652,002241,1.088
930652,002273,0.559
930652,002371,3.469
930652,002384,1.672
930652,002409,0.464
930652,002415,1.936
930652,002456,0.552
930652,002463,1.583
930652,002475,4.442
930652,002600,0.902
930652,002841,0.278
930652,002916,1.05
930652,002920,0.615
930652,002938,0.669
930652,100,1.701
930652,2049,0.964
930652,21,0.598
930652,2130,0.573
930652,2138,0.536
930652,2152,0.27
930652,2156,1.066
930652,2180,0.355
930652,2185,0.656
930652,2236,0.63
930652,2241,1.088
930652,2273,0.559
930652,2371,3.469
930652,2384,1.672
930652,2409,0.464
930652,2415,1.936
930652,2456,0.552
930652,2463,1.583
930652,2475,4.442
930652,2600,0.902
930652,2841,0.278
930652,2916,1.05
930652,2920,0.615
930652,2938,0.669
930652,300115,0.619
930652,300223,0.819
930652,300373,0.477
930652,300408,1.131
930652,300433,1.221
930652,300458,0.449
930652,300474,0.458
930652,300476,2.72
930652,300604,0.955
930652,300623,0.295
930652,300661,0.555
930652,300782,0.494
930652,300857,0.931
930652,300866,0.36
930652,301269,0.379
930652,301308,0.95
930652,301536,0.198
930652,301611,0.372
930652,600100,0.369
930652,600171,0.314
930652,600183,1.412
