序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
385,930967,港股通信息C,4566.13,-0.75,-34.63,10481498,18049030866.5,2.67,4613.51,4490.46,4507.31,4600.76,0.72
386,932153,港股通价值策略,1123.48,-0.75,-8.51,86168971,89648252186.2,1.53,1127.72,1110.37,1115.38,1131.99,0.72
387,H50035,沪智交通,2431.75,-0.76,-18.56,8533000,20991395618.0,2.27,2464.35,2408.64,2422.85,2450.31,0.75
388,931412,证券公司30,1582.03,-0.76,-12.11,13581606,20014264765.0,0.99,1595.46,1579.7,1585.72,1594.14,0.64
389,H50020,上红潜力,7193.23,-0.76,-54.93,10262328,56970005087.0,1.5,7256.75,7148.16,7214.55,7248.16,0.76
390,H11144,HKT内地消费,1210.36,-0.76,-9.33,14518745,43584247404.8,1.44,1218.85,1201.32,1202.47,1219.69,0.9
391,H11120,香港中盘精选,3062.97,-0.77,-23.92,21081467,21923549080.6,1.86,3083.15,3025.83,3042.48,3086.89,0.76
392,931402,证券先锋,2042.96,-0.77,-15.92,20873234,27346913651.0,0.97,2061.19,2041.15,2048.13,2058.88,0.7
393,931160,通信设备,15301.24,-0.77,-118.51,18858319,125960416030.0,3.31,15632.76,15121.96,15213.41,15419.75,0.85
394,931067,绩优策略,7645.38,-0.79,-61.22,22390748,162457071327.0,2.0,7726.06,7572.18,7600.39,7706.6,0.76
395,931573,港股通科技,3193.62,-0.8,-25.64,14873440,67511996872.1,2.42,3227.32,3149.31,3149.31,3219.26,0.76
396,950125,科创半导体材料设备,2480.37,-0.8,-20.06,2133463,19873997964.0,2.32,2527.16,2469.15,2481.85,2500.43,0.78
397,931456,中国教育,1243.8,-0.81,-10.12,5130561,7207468095.0,1.32,1254.04,1237.46,1254.03,1253.92,0.59
398,931582,数字经济,1531.0,-0.81,-12.56,11540031,88745729365.0,1.96,1547.9,1517.57,1526.24,1543.56,0.71
399,H50003,180工业,1937.5,-0.82,-15.98,38541116,45437640546.0,1.19,1952.45,1929.11,1940.26,1953.48,0.71
400,H11123,香港内地50,3027.05,-0.83,-25.45,21912507,91330130844.5,1.84,3046.66,2990.49,2992.73,3052.5,0.79
401,932066,半导体行业精选,4317.39,-0.83,-35.98,6605664,71997191342.0,2.3,4373.04,4272.88,4299.63,4353.37,0.69
402,H50019,上红回报,7664.93,-0.83,-64.48,21956602,55824992548.0,1.23,7723.23,7628.42,7699.9,7729.41,0.81
403,CESHKM,中华香港内地指数,6891.27,-0.83,-57.75,19461765,84245577941.3,1.79,6935.74,6811.05,6816.44,6949.02,0.8
