fund_code,fund_type,actual_growth,estimated_growth,deviation,deviation_level
002449,混合型-灵活,-0.5,-0.50257766748,-0.00257766747999999,0.0
018517,混合型-灵活,-0.5,-0.50257766748,-0.00257766747999999,0.0
018198,混合型-偏债,-0.01,-0.0074140624827999995,0.0025859375172000007,0.0
018199,混合型-偏债,-0.01,-0.0074140624827999995,0.0025859375172000007,0.0
000107,债券型-混合二级,0.0,-0.0026344610999999994,-0.0026344610999999994,0.0
000109,债券型-混合二级,0.0,-0.0026344610999999994,-0.0026344610999999994,0.0
001009,股票型,-0.84,-0.842645263786,-0.0026452637860000516,0.0
023427,指数型-股票,0.2,0.2026525605108,0.002652560510799984,0.0
005039,混合型-偏债,-0.03,-0.027319772219999996,0.0026802277800000024,0.0
005040,混合型-偏债,-0.03,-0.027319772219999996,0.0026802277800000024,0.0
013190,混合型-偏债,-0.01,-0.007310460167999999,0.0026895398320000014,0.0
013191,混合型-偏债,-0.01,-0.007310460167999999,0.0026895398320000014,0.0
001822,混合型-灵活,-1.6,-1.5972730998159999,0.002726900184000236,0.0
019911,指数型-股票,-0.31,-0.30720741384,0.002792586159999999,0.0
019912,指数型-股票,-0.31,-0.30720741384,0.002792586159999999,0.0
013119,指数型-股票,0.02,0.022796978688,0.0027969786879999993,0.0
001035,债券型-混合二级,0.0,0.0028399416199999996,0.0028399416199999996,0.0
005262,混合型-灵活,-0.13,-0.13285894299999998,-0.002858942999999975,0.0
005263,混合型-灵活,-0.13,-0.13285894299999998,-0.002858942999999975,0.0
025654,QDII-混合偏股,-0.02,-0.022903585200000003,-0.002903585200000003,0.0
025655,QDII-混合偏股,-0.02,-0.022903585200000003,-0.002903585200000003,0.0
011917,混合型-偏股,-0.44,-0.44292147117600006,-0.0029214711760000567,0.0
011918,混合型-偏股,-0.44,-0.44292147117600006,-0.0029214711760000567,0.0
013614,债券型-混合二级,-0.01,-0.012930450919999998,-0.0029304509199999974,0.0
013615,债券型-混合二级,-0.01,-0.012930450919999998,-0.0029304509199999974,0.0
016814,指数型-股票,-0.26,-0.26296228431875485,-0.0029622843187548376,0.0
009990,混合型-偏股,-0.43,-0.4329736061615999,-0.0029736061615999176,0.0
002924,债券型-混合二级,0.0,-0.003011586140000001,-0.003011586140000001,0.0
011534,混合型-偏债,0.0,-0.0031272875239999995,-0.0031272875239999995,0.0
011535,混合型-偏债,0.0,-0.0031272875239999995,-0.0031272875239999995,0.0
005197,混合型-灵活,-0.96,-0.9568439512082999,0.0031560487917000613,0.0
024345,指数型-股票,-0.31,-0.30684285288,0.003157147119999981,0.0
001303,混合型-灵活,0.0,-0.0031717327999999994,-0.0031717327999999994,0.0
002323,混合型-灵活,0.0,-0.0031717327999999994,-0.0031717327999999994,0.0
009329,指数型-股票,-1.21,-1.2067976602800001,0.003202339719999836,0.0
009618,混合型-偏股,-0.46,-0.4632422489659999,-0.0032422489659998943,0.0
014080,混合型-偏股,-0.46,-0.4632422489659999,-0.0032422489659998943,0.0
022937,指数型-股票,0.14,0.14324834651999996,0.003248346519999945,0.0
014872,混合型-偏股,-0.83,-0.8266958106803999,0.0033041893196000816,0.0
014873,混合型-偏股,-0.83,-0.8266958106803999,0.0033041893196000816,0.0
006314,混合型-偏股,-0.38,-0.37665315509999997,0.0033468449000000344,0.0
006315,混合型-偏股,-0.38,-0.37665315509999997,0.0033468449000000344,0.0
550003,混合型-偏股,-0.53,-0.533476852056,-0.0034768520560000127,0.0
001328,混合型-灵活,0.0,-0.003528393060000001,-0.003528393060000001,0.0
023232,混合型-偏债,-0.02,-0.016451587776,0.003548412224,0.0
023233,混合型-偏债,-0.02,-0.016451587776,0.003548412224,0.0
001679,混合型-灵活,-0.39,-0.3864218137620001,0.0035781862379999363,0.0
010855,指数型-股票,-0.63,-0.63365327484,-0.003653274839999998,0.0
015434,债券型-混合二级,-0.01,-0.00630074809,0.0036992519100000005,0.0
015435,债券型-混合二级,-0.01,-0.00630074809,0.0036992519100000005,0.0
009330,混合型-偏股,-0.5,-0.49628186537279995,0.0037181346272000537,0.0
009331,混合型-偏股,-0.5,-0.49628186537279995,0.0037181346272000537,0.0
519779,混合型-灵活,-0.47,-0.46625578070499996,0.0037442192950000175,0.0
012812,混合型-偏债,-0.1,-0.09623002528230001,0.003769974717699992,0.0
012813,混合型-偏债,-0.1,-0.09623002528230001,0.003769974717699992,0.0
001363,混合型-灵活,-0.19,-0.193851603675,-0.0038516036750000093,0.0
