代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时点,市盈率,市净率,流通市值,总市值,换手率
sh688599,天合光能,20.74,0.28,1.369,20.74,20.75,20.46,20.0,21.2,19.8,101460843,2088181387,15:34:59,-13.044,2.28,4858485.380764,4858485.380764,4.33118
sh688600,皖仪科技,26.86,-0.21,-0.776,26.86,26.9,27.07,27.01,27.39,26.5,1639996,44283619,15:00:01,244.182,4.761,361827.00414,361827.00414,1.21744
sh688601,力芯微,52.08,-2.42,-4.44,52.07,52.08,54.5,53.64,54.88,51.9,7267061,387340587,15:00:03,55.404,5.61,696271.5816,696271.5816,5.43565
sh688602,康鹏科技,8.35,-0.07,-0.831,8.34,8.35,8.42,8.27,8.44,8.11,10433245,86692420,15:00:01,-83.5,1.554,433678.125,216762.794435,4.01903
sh688603,天承科技,72.29,-0.65,-0.891,72.28,72.29,72.94,72.11,74.0,70.97,1837418,133349436,15:00:03,81.225,7.734,901633.583996,342810.797003,3.87464
sh688605,先锋精科,66.07,-1.28,-1.901,66.06,66.07,67.35,66.5,67.08,65.87,2188395,145564757,15:00:03,47.877,8.287,1337123.708592,715879.88011,2.01971
sh688606,奥泰生物,68.84,0.06,0.087,68.84,68.88,68.78,68.38,69.28,68.0,267097,18378652,15:00:03,18.021,1.399,545769.40582,545769.40582,0.3369
sh688607,康众医疗,55.5,-1.3,-2.289,55.41,55.5,56.8,58.0,58.0,55.2,3431863,193874477,15:00:00,277.5,5.697,489116.09985,489116.09985,3.89413
sh688608,恒玄科技,209.84,0.85,0.407,209.84,209.89,208.99,207.22,212.74,204.54,2333598,489923987,15:00:03,54.384,5.113,3539869.33524,3539869.33524,1.38333
sh688609,九联科技,8.82,-0.08,-0.899,8.82,8.84,8.9,8.87,8.96,8.78,6919869,61333629,15:00:03,-30.721,4.962,441000.0,441000.0,1.38397
sh688610,埃科光电,80.21,-0.12,-0.149,80.2,80.21,80.33,80.0,82.99,78.19,1461325,117589567,15:00:01,348.739,3.644,545428.0,328320.127928,3.57008
sh688611,杭州柯林,60.03,0.17,0.284,60.03,60.04,59.86,58.86,60.6,58.53,998452,59749701,15:00:03,89.597,10.592,920797.7688,920797.7688,0.65093
sh688612,威迈斯,30.81,-0.19,-0.613,30.81,30.86,31.0,30.78,31.45,30.55,3344179,103798231,15:00:01,32.432,3.699,1291518.529938,778114.656111,1.32415
sh688613,奥精医疗,22.26,0.07,0.315,22.25,22.26,22.19,22.35,22.72,21.97,2258329,50610085,15:00:03,-247.333,2.125,304981.107984,304981.107984,1.64831
sh688615,合合信息,243.23,-1.99,-0.812,243.23,243.6,245.22,243.0,248.39,239.13,2358155,576207628,15:00:01,49.337,12.131,3405220.0,2351310.344812,2.43938
sh688616,西力科技,13.41,0.08,0.6,13.39,13.41,13.33,13.33,13.63,13.18,2630149,35456966,15:00:03,22.729,2.831,240546.253365,240546.253365,1.46626
sh688617,惠泰医疗,230.0,1.6,0.701,230.0,230.25,228.4,229.31,233.99,226.08,769100,177587111,15:00:03,33.046,10.853,3243691.127,3243691.127,0.54534
sh688618,三旺通信,31.3,0.42,1.36,31.3,31.33,30.88,30.83,31.84,30.66,1274097,39973420,15:00:03,104.333,3.93,344881.0219,344449.76424,1.15777
sh688619,罗普特,14.09,0.0,0.0,14.02,14.09,14.09,13.88,14.29,13.88,1888266,26636785,15:00:03,-13.046,3.268,261282.201178,261282.201178,1.01827
sh688620,安凯微,11.48,0.0,0.0,11.47,11.48,11.48,11.47,11.61,11.36,5008706,57564356,15:00:03,-76.533,3.34,450016.0,266701.66096,2.15597
sh688621,阳光诺和,65.96,0.41,0.625,65.96,65.98,65.55,65.32,67.2,64.0,1549800,102545334,15:00:03,41.747,6.356,738752.0,738752.0,1.38375
sh688622,禾信仪器,123.4,3.64,3.039,123.01,123.4,119.76,119.0,128.35,116.12,2272251,277758844,15:00:03,-186.97,23.718,869544.52914,869544.52914,3.22463
sh688623,双元科技,104.56,3.11,3.066,104.31,104.56,101.45,101.06,107.19,101.06,912910,95689381,15:00:03,70.649,2.933,618396.0712,200156.0712,4.76897
sh688625,呈和科技,67.0,-5.6,-7.713,66.7,67.0,72.6,71.0,72.0,66.0,5662683,386444602,15:00:01,36.216,8.616,1261750.3717,1261750.3717,3.00693
sh688626,翔宇医疗,65.97,-0.99,-1.478,65.96,65.97,66.96,66.07,66.95,65.47,1789383,118631412,15:00:01,99.955,5.208,1055520.0,1055520.0,1.11836
sh688627,精智达,287.99,-6.01,-2.044,287.99,288.0,294.0,287.5,302.79,280.42,5991727,1754541041,15:00:03,336.358,15.918,2707444.503446,2083656.262712,8.28139
sh688628,优利德,36.4,0.07,0.193,36.3,36.4,36.33,36.35,36.75,35.95,817732,29797719,15:00:03,21.928,3.189,406834.02032,406834.02032,0.73164
sh688629,华丰科技,90.35,2.01,2.275,90.32,90.35,88.34,87.99,92.16,87.72,9184349,834046547,15:00:01,-2258.75,24.737,4165070.228085,1642409.829645,5.05237
sh688630,芯碁微装,161.78,-5.04,-3.021,161.6,161.78,166.82,163.03,165.78,161.3,4262740,696042646,15:34:59,131.528,9.629,2131301.303448,2131301.303448,3.2357
sh688631,莱斯信息,67.73,0.03,0.044,67.73,67.75,67.7,67.0,68.18,66.42,1128805,76077547,15:00:01,85.734,6.112,1107182.31,439364.51,1.7401
sh688633,星球石墨,25.33,0.12,0.476,25.33,25.34,25.21,25.16,25.66,25.0,699793,17779546,15:00:03,24.833,2.266,364169.027517,364169.027517,0.48675
sh688636,智明达,47.01,-1.02,-2.124,47.01,47.02,48.03,47.31,48.42,46.81,4612887,219255170,15:34:59,270.951,6.979,817534.005204,788016.430905,2.75187
sh688638,誉辰智能,40.4,0.8,2.02,40.29,40.4,39.6,39.6,40.91,39.16,667573,26913761,15:00:01,-17.642,2.648,226240.0,106902.52888,2.52285
sh688639,华恒生物,36.12,-0.76,-2.061,36.12,36.14,36.88,36.65,37.05,36.11,4725086,172785416,15:00:03,44.049,3.368,903417.883116,903417.883116,1.88916
sh688646,ST逸飞,39.43,0.23,0.587,39.4,39.43,39.2,39.0,40.09,38.87,588863,23364602,15:00:03,151.654,2.53,375226.163344,232577.807684,0.99833
sh688648,中邮科技,61.0,0.2,0.329,60.99,61.0,60.8,60.0,61.99,59.18,1694837,103245427,15:00:00,-55.963,3.72,829600.0,424126.4364,2.4376
sh688651,盛邦安全,50.6,3.43,7.272,50.6,50.66,47.17,47.14,50.97,46.31,3431975,170406573,15:00:03,2530.0,4.111,381518.94,164219.39556,10.57475
sh688652,京仪装备,117.41,-2.54,-2.118,117.41,117.42,119.95,118.77,124.0,117.33,4774676,574035821,15:00:03,129.022,9.041,1972488.0,1417725.75,3.95418
sh688653,康希通信,13.61,-0.12,-0.874,13.61,13.63,13.73,13.66,13.82,13.57,4925200,67451947,15:34:59,-75.864,4.018,577717.28,430636.183517,1.55658
sh688655,迅捷兴,20.42,0.07,0.344,20.42,20.44,20.35,20.13,21.01,20.02,2802924,57513927,15:00:01,-2042.0,4.056,272382.38,272382.38,2.1013
sh688656,浩欧博,139.68,-4.16,-2.892,139.61,139.68,143.84,143.56,143.56,139.5,486937,68426967,15:00:03,236.746,10.695,886685.00832,886685.00832,0.76707
sh688657,浩辰软件,56.29,-0.11,-0.195,56.22,56.29,56.4,56.09,56.93,55.88,639047,36099658,15:00:03,58.635,2.624,368779.927152,231039.726918,1.55696
sh688658,悦康药业,22.2,0.16,0.726,22.09,22.2,22.04,21.76,22.8,21.76,8113721,181087378,15:34:59,79.286,2.913,999000.0,999000.0,1.80305
sh688659,元琛科技,10.72,0.11,1.037,10.7,10.72,10.61,10.64,10.83,10.39,2185718,23414598,15:00:03,-28.211,3.197,171520.0,171520.0,1.36607
sh688660,电气风电,13.94,0.05,0.36,13.93,13.94,13.89,13.77,14.08,13.7,12368765,172298859,15:00:03,-23.627,4.233,1858666.7596,1858666.7596,0.92766
sh688661,和林微纳,85.68,-3.36,-3.774,85.61,85.68,89.04,87.94,89.46,84.68,4061353,352685910,15:00:01,-1150.067,10.514,1301374.893168,1301374.893168,2.67392
sh688662,富信科技,53.4,1.75,3.388,53.4,53.41,51.65,51.05,55.6,50.94,5036664,269052488,15:00:03,102.692,6.557,471201.6,471201.6,5.70791
sh688663,新风光,55.58,1.42,2.622,55.58,55.6,54.16,53.17,56.2,53.11,3116078,171952833,15:00:03,44.464,5.754,786315.8268,786315.8268,2.20257
sh688665,四方光电,50.98,-0.14,-0.274,50.98,51.0,51.12,50.9,51.51,50.5,464364,23744238,15:00:01,45.115,4.544,512620.932418,512620.932418,0.46181
sh688667,菱电电控,79.8,-1.12,-1.384,79.8,79.81,80.92,79.5,81.99,79.31,568030,45827277,15:00:03,257.419,2.446,420509.74686,420509.74686,1.07795
sh688668,鼎通科技,161.88,-1.12,-0.687,161.88,162.13,163.0,161.46,170.67,161.01,3974632,657328839,15:34:59,202.35,11.861,2254512.569928,2254512.569928,2.85389
sh688669,聚石化学,25.63,0.21,0.826,25.61,25.63,25.42,25.14,25.96,25.08,1515666,38879001,15:00:03,-13.144,2.377,310977.335042,310977.335042,1.24918
sh688670,金迪克,20.4,0.37,1.847,20.39,20.4,20.03,20.3,21.35,20.15,4067698,84411279,15:00:03,-26.842,2.11,251328.0,251328.0,3.3017
sh688671,碧兴物联,24.67,0.27,1.107,24.67,24.69,24.4,24.27,25.24,24.13,1233943,30569155,15:00:03,-50.347,1.821,193706.1263,115571.849974,2.63398
sh688676,金盘科技,92.8,-0.26,-0.279,92.79,92.8,93.06,91.72,96.5,90.1,11940355,1122428226,15:34:59,71.938,9.048,4266798.89792,4266798.89792,2.59695
sh688677,海泰新光,49.12,-0.9,-1.799,49.12,49.15,50.02,50.02,50.12,48.85,1770289,87486549,15:00:03,43.857,4.469,588835.824,588835.824,1.47675
sh688678,福立旺,22.5,1.01,4.7,22.5,22.51,21.49,21.06,22.9,21.02,12960682,287488208,15:00:03,86.538,3.351,622017.77175,622017.77175,4.68822
sh688679,通源环境,46.1,-1.41,-2.968,46.08,46.1,47.51,47.3,47.67,45.99,3124211,145990051,15:00:03,271.176,5.407,607089.40175,607089.40175,2.3724
sh688680,海优新材,64.81,-0.75,-1.144,64.8,64.81,65.56,65.0,67.48,62.7,4758886,311449700,15:34:59,-9.63,4.395,544558.837571,544558.837571,5.66373
sh688681,科汇股份,19.57,0.09,0.462,19.47,19.57,19.48,19.52,19.78,19.24,1553655,30439625,15:00:03,67.483,3.391,204839.19,204839.19,1.48434
sh688682,霍莱沃,48.82,-0.9,-1.81,48.79,48.82,49.72,49.1,49.88,48.11,2026678,99475380,15:00:01,244.1,7.726,497177.48539,497177.48539,1.99008
sh688683,莱尔科技,35.41,-0.39,-1.089,35.41,35.51,35.8,35.6,36.22,35.1,777883,27789461,15:00:01,147.542,5.563,570447.3098,549485.046589,0.50128
sh688685,迈信林,49.35,0.45,0.92,49.2,49.35,48.9,48.87,49.43,47.66,1939731,94161968,15:00:01,159.194,8.771,724712.976645,724712.976645,1.32088
sh688686,奥普特,118.67,0.97,0.824,118.67,118.71,117.7,116.15,121.39,116.15,595122,70738508,15:00:01,106.45,4.753,1450568.144485,1450568.144485,0.48687
sh688687,凯因科技,21.84,-0.02,-0.091,21.84,21.85,21.86,21.85,22.1,21.8,2907454,63823594,15:00:03,25.694,2.078,373342.617648,373342.617648,1.70082
sh688689,银河微电,30.88,-0.45,-1.436,30.86,30.88,31.33,30.84,31.46,30.66,2013628,62538344,15:00:01,55.143,3.296,398053.269968,398053.269968,1.56212
sh688690,纳微科技,28.5,-0.23,-0.801,28.5,28.52,28.73,28.5,28.86,28.04,4298451,122873059,15:00:03,138.148,6.139,1150872.08025,1150872.08025,1.06446
sh688691,灿芯股份,124.88,-2.72,-2.132,124.88,124.9,127.6,125.5,127.8,122.4,3775615,472038735,15:00:03,223.0,11.947,1498560.0,892455.04488,5.28317
sh688692,达梦数据,258.62,-8.68,-3.247,258.62,258.63,267.3,263.08,266.5,257.0,1155307,301252192,15:00:03,47.54,8.369,2928612.88,1891460.0423,1.57966
sh688693,锴威特,39.51,-0.17,-0.428,39.51,39.53,39.68,39.49,40.2,39.1,1001485,39692192,15:00:03,-29.932,3.441,291126.317661,153711.339714,2.57422
sh688695,中创股份,28.79,0.32,1.124,28.79,28.82,28.47,28.26,29.11,27.96,864422,24727296,15:00:03,58.755,3.14,244862.917262,147604.009526,1.68605
sh688696,极米科技,95.65,0.0,0.0,95.65,95.66,95.65,95.0,96.89,94.46,1132616,108710366,15:00:01,54.657,2.319,669741.3,669741.3,1.61756
sh688697,纽威数控,15.2,-0.05,-0.328,15.19,15.2,15.25,15.21,15.4,15.11,2161835,33039428,15:00:03,15.2,3.977,695146.7376,695146.7376,0.4727
sh688698,伟创电气,91.46,2.43,2.729,91.43,91.46,89.03,88.37,94.6,87.0,5495694,502458988,15:00:03,78.845,8.455,1957452.291004,1957452.291004,2.56781
sh688699,明微电子,58.49,-3.99,-6.386,58.47,58.49,62.48,61.56,61.56,58.4,3896455,231547319,15:00:03,835.571,5.314,643768.07936,643768.07936,3.54015
sh688700,东威科技,39.45,0.13,0.331,39.45,39.47,39.32,38.9,40.45,38.55,6984784,276958346,15:00:03,171.522,6.556,1177193.3652,1177193.3652,2.34073
