fund_code,index_code,effective_weight
001053,000012,0.4
001053,000300,0.6
001054,000300,1.0
001056,000906,0.6
001056,中证全债指数,0.4
001060,000300,0.7
001060,中证全债指数,0.3
001064,000827,1.0
001068,000300,0.5
001068,中证全债指数,0.5
001069,932124,0.8
001069,中证全债指数,0.2
001070,000998,0.85
001071,000906,0.5
001072,000906,0.8
001074,000300,0.95
001075,000906,0.7
001075,中证全债指数,0.3
001076,000300,0.7
001088,000012,0.3
001088,000300,0.7
001097,000300,0.8
001102,000300,0.7
001102,中证全债指数,0.3
001103,000300,0.7
001103,中证全债指数,0.3
001104,000906,0.8
001105,000012,0.15
001105,000300,0.85
001106,000012,0.45
001106,000300,0.55
001112,000906,0.7
001113,399415,0.95
001115,000300,0.3
001115,中证全债指数,0.7
001116,000300,0.3
001116,中证全债指数,0.7
001117,000300,0.65
001118,000012,0.2
001118,000300,0.8
001120,000300,0.7
001120,中证全债指数,0.3
001121,000300,0.7
001121,中证全债指数,0.3
001125,000012,0.4
001125,000300,0.6
001126,000012,0.15
001126,932119,0.85
001127,000300,0.6
001128,000964,0.65
001128,中证全债指数,0.35
001133,000989,0.95
001135,000300,0.65
001135,中证全债指数,0.35
001136,000300,0.1
001140,000300,0.55
001143,000012,0.4
001143,000300,0.6
001144,000300,0.6
001144,中证全债指数,0.4
001148,000300,0.5
001148,中证全债指数,0.5
001149,HSCAIT,0.95
001150,000300,0.5
001152,000964,0.5
001154,000906,0.6
001154,中证全债指数,0.4
001156,399976,0.5
001156,中证全债指数,0.5
001157,000012,0.5
001157,000300,0.5
001158,000986,0.4
001158,000987,0.4
001162,000300,0.8
001162,中证全债指数,0.2
001163,000906,0.9
001166,000827,0.8
001167,000300,0.8
001167,中证全债指数,0.2
001170,000300,0.5
001170,中证全债指数,0.5
001171,399812,0.8
001173,000688,0.8
001174,000688,0.8
001178,000300,0.8
001179,H30344,0.8
001179,中证全债指数,0.2
001180,000991,0.95
001181,000012,0.4
001181,000300,0.6
001182,000300,0.25
001184,000906,0.65
001186,000906,0.8
001188,000300,0.8
001188,中证全债指数,0.2
001189,000300,0.3
001189,中证全债指数,0.7
001192,000906,0.6
001193,000932,0.8
001193,中证全债指数,0.2
001197,000300,0.5
001197,中证全债指数,0.5
001198,000300,0.45
001202,000300,0.2
001208,000977,0.8
001208,中证全债指数,0.2
001209,000300,0.7
001209,中证全债指数,0.3
001210,000998,0.6
001210,中证全债指数,0.4
001214,000905,0.95
001215,000905,0.4
001215,HSCI,0.2
001216,000300,0.75
001217,000300,0.75
001218,000300,0.5
001219,000852,0.9
001220,000300,0.6
001220,H11006,0.4
001222,000300,0.7
001222,中证全债指数,0.3
001223,399971,0.8
001223,中证全债指数,0.2
001225,000012,0.4
001225,000300,0.6
001227,000012,0.4
001227,000935,0.6
001228,000012,0.5
001228,000300,0.5
001229,000300,0.5
001229,HSI,0.1
001230,000933,0.8
001236,000300,0.9
001237,000016,0.95
001239,000300,0.5
001239,中证全债指数,0.5
001241,000905,0.95
001242,H30537,0.95
001243,H30537,0.95
001244,000905,0.95
001245,000827,0.8
001249,000300,0.2
001250,000300,0.5
001250,中证全债指数,0.5
001254,000300,0.3
001254,中证全债指数,0.7
001255,000906,0.55
001256,000300,0.8
001256,中证全债指数,0.2
001261,000012,0.45
001261,000300,0.55
001266,000300,0.6
001267,000300,0.6
001267,中证全债指数,0.4
001268,000906,0.8
001275,000012,0.4
001275,000300,0.6
001276,000300,0.65
001277,000300,0.9
001278,000300,0.7
001278,中证全债指数,0.3
001282,000300,0.6
001285,000300,0.1
001286,000300,0.1
001287,000300,0.5
001287,中证全债指数,0.5
001291,000300,0.85
001294,000964,0.7
001294,中证全债指数,0.3
001297,000300,0.8
001297,中证全债指数,0.2
001298,000300,0.6
001298,中证全债指数,0.4
001300,000905,0.6
001301,000905,0.6
001302,000300,0.6
001302,中证全债指数,0.4
001305,000300,0.6
001306,000300,0.8
001307,000300,0.8
001313,000998,0.85
001314,000300,0.2
001315,000300,0.2
001318,000300,0.7
001319,000998,0.8
001319,中证全债指数,0.2
001320,000906,0.8
001322,000300,0.65
001323,399970,0.5
001339,H30269,0.1
001342,000300,0.2
001343,000300,0.2
001344,000913,0.95
001349,000906,0.6
001351,000905,0.95
001357,000300,0.5
001357,中证全债指数,0.45
001358,000300,0.3
001358,中证全债指数,0.7
001359,000012,0.5
001359,000300,0.5
001361,H30318,0.95
001363,000300,0.55
001366,000300,0.6
001366,中证全债指数,0.4
001370,000300,0.6
001371,000300,0.45
001371,HSI,0.45
001373,000906,0.65
001375,000300,0.55
001376,000300,0.5
001376,中证全债指数,0.45
001382,399974,0.8
001384,000300,0.6
001385,000300,0.6
001387,000012,0.45
001387,000300,0.55
001388,000012,0.45
001388,000300,0.55
001392,000914,0.65
001393,000914,0.65
001396,000906,0.8
001397,H30531,0.9
001398,000012,0.2
001398,000300,0.8
001403,399974,0.8
001404,399970,0.8
001409,000906,0.8
001410,000012,0.15
001410,000300,0.85
001411,000300,0.6
001411,中证全债指数,0.4
001413,000012,0.45
001413,000300,0.55
001414,000012,0.45
001414,000300,0.55
001415,000300,0.8
001416,000300,0.8
001416,中证全债指数,0.2
001417,000933,0.7
001418,中证全债指数,1.0
001420,399416,0.95
001421,000012,0.1
001421,000905,0.9
001426,399416,0.95
001428,000906,0.55
001433,000300,0.2
001437,000905,0.85
001438,000905,0.85
001441,000300,0.2
001442,000300,0.2
001443,000300,0.3
001444,000300,0.3
001445,000906,0.5
001447,000300,0.5
001447,中证全债指数,0.5
001448,000300,0.4
001449,000012,0.35
001449,000300,0.65
001455,000905,0.95
001457,000012,0.35
001457,000300,0.65
001463,000300,0.7
001463,中证全债指数,0.3
001466,000012,0.5
001466,000300,0.5
001467,000012,0.5
001467,000300,0.5
001468,000300,0.5
001468,中证全债指数,0.5
001469,000992,0.95
001470,000300,0.5
001471,000941,0.5
001473,000300,0.85
001474,000300,0.5
001474,中证全债指数,0.5
001475,399959,0.7
001476,H11054,0.8
001479,000012,0.4
001479,000300,0.6
001480,000012,0.45
001480,000300,0.55
001482,000906,0.85
001484,000300,0.5
001484,中证全债指数,0.5
001487,000906,0.65
001487,中证全债指数,0.35
001488,000300,0.5
001488,中证全债指数,0.5
001489,000300,0.5
001489,中证全债指数,0.5
001490,000955,0.8
001496,000906,0.8
001499,000300,0.5
001500,000300,0.75
001500,中证全债指数,0.25
001513,000998,0.7
001515,000300,0.5
001515,中证全债指数,0.5
001518,000300,0.35
001518,HSI,0.35
001518,中证全债指数,0.3
001521,000300,0.8
001528,000300,0.8
001528,中证全债指数,0.2
001530,000300,0.5
001530,中证全债指数,0.5
001531,000300,0.6
001532,000906,0.5
001534,000012,0.45
001534,000300,0.55
001535,000300,0.5
001535,中证全债指数,0.5
001537,000300,0.6
001537,中证全债指数,0.4
001538,000906,0.8
001539,000934,0.95
001540,000905,0.7
001541,000938,0.8
001542,000300,0.8
001542,中证全债指数,0.2
001543,000300,0.65
001547,000300,0.1
001548,000016,0.95
001549,000016,0.95
001550,000978,0.95
001551,000978,0.95
001552,H30588,0.95
001553,H30588,0.95
001556,000905,0.95
001557,000905,0.95
001558,000933,0.8
001558,中证全债指数,0.2
001559,000933,0.8
001559,中证全债指数,0.2
001562,000300,0.2
001563,000012,0.5
001563,000300,0.5
001564,000906,0.7
001569,000012,0.5
001569,000300,0.5
001574,000300,0.5
001574,中证全债指数,0.5
001576,930599,0.8
001576,中证全债指数,0.2
001577,000300,0.8
001577,中证全债指数,0.2
001579,399814,0.8
001579,中证全债指数,0.2
001581,000906,0.3
001581,HSCI,0.3
001583,000300,0.45
001583,HSI,0.45
001583,中证全债指数,0.1
001584,000300,0.15
001585,000300,0.15
001588,000906,0.95
001589,000906,0.95
001592,399006,0.95
001593,399006,0.95
001594,399986,0.95
001595,399986,0.95
001601,000012,0.5
001601,000300,0.5
001602,000012,0.5
001602,000300,0.5
001603,000300,0.25
001604,000906,0.7
001605,000300,0.85
001606,000300,0.65
001606,中证全债指数,0.35
001609,000300,0.3
001609,中证全债指数,0.7
001610,000300,0.3
001610,中证全债指数,0.7
001613,000300,0.55
001614,000300,0.6
001616,000977,0.8
001616,中证全债指数,0.2
001617,930652,0.95
001618,930652,0.95
001623,000012,0.45
001623,399974,0.55
001626,000926,0.8
001626,中证全债指数,0.2
001628,399804,0.1
001628,399810,0.7
001629,930651,0.95
001630,930651,0.95
001631,930653,0.95
001632,930653,0.95
001633,000300,0.5
001633,中证全债指数,0.5
001634,000300,0.5
001634,中证全债指数,0.5
001635,000300,0.5
001635,中证全债指数,0.5
001636,000300,0.5
001636,中证全债指数,0.5
001637,000905,0.95
001637,中证全债指数,0.05
001638,000300,0.8
001638,中证全债指数,0.2
001643,H11054,0.9
001644,H11054,0.9
001645,H30344,0.8
001645,中证全债指数,0.2
001648,000300,0.55
001650,000300,0.3
001651,000300,0.8
001654,000012,0.5
001654,000300,0.5
001656,000300,0.65
001656,中证全债指数,0.35
001657,000300,0.5
001659,000964,0.6
001660,000300,0.6
001662,000300,0.4
001662,HSI,0.2
001664,000300,0.4
001664,中证全债指数,0.6
001665,000300,0.4
001665,中证全债指数,0.6
001667,000012,0.4
001667,000300,0.6
001672,000300,0.8
001675,000012,0.5
001675,000300,0.5
001676,000012,0.5
001676,000300,0.5
001677,000906,0.8
001678,399974,0.8
001678,中证全债指数,0.2
001679,000300,0.7
001679,中证全债指数,0.3
001681,000905,0.6
001682,000300,0.45
001685,000300,0.1
001685,HSHKI,0.7
001688,000300,0.5
001691,HSI,0.95
001692,000012,0.2
001692,000300,0.8
001694,000906,0.5
001701,000012,0.45
001701,000300,0.55
001702,000300,0.6
001703,000300,0.45
001703,HSI,0.45
001703,中证全债指数,0.1
001704,000300,0.6
001705,000300,0.9
001705,中证全债指数,0.1
001706,000300,0.6
001706,中证全债指数,0.4
001707,000300,0.8
001707,中证全债指数,0.2
001708,000300,0.6
001709,000012,0.5
001709,000300,0.5
001710,000300,0.5
001711,000300,0.5
001712,000906,0.7
001714,930616,0.8
001715,000906,0.4
001715,HSI,0.15
001716,000906,0.6
001717,930726,0.8
001718,000957,0.8
001719,000300,0.8
001720,000300,0.3
001721,000300,0.3
001722,000300,0.3
001723,000012,0.3
001723,000171,0.7
001724,000300,0.5
001724,中证全债指数,0.5
001725,932119,0.8
001726,000931,0.4
001726,000932,0.4
001731,000300,0.5
001731,中证全债指数,0.5
001732,000300,0.5
001732,中证全债指数,0.5
001734,000905,0.8
001735,000905,0.8
001736,000300,0.8
001740,399803,0.5
001740,中证全债指数,0.5
001741,931802,0.9
001742,931802,0.9
001743,000300,0.6
001743,中证全债指数,0.4
001744,000300,0.6
001744,中证全债指数,0.4
001745,000300,0.25
001746,000300,0.25
001747,000300,0.25
001748,000300,0.25
001749,000300,0.8
001749,中证全债指数,0.2
001753,000300,0.6
001753,中证全债指数,0.4
001755,000300,0.5
001756,000300,0.5
001758,000300,0.5
001758,中证全债指数,0.5
001759,000300,0.5
001760,000300,0.5
001761,000300,0.3
001761,中证全债指数,0.7
001762,000300,0.3
001762,中证全债指数,0.7
001763,000300,0.5
001763,中证全债指数,0.5
001764,000300,0.45
001764,中证全债指数,0.1
001765,000300,0.7
001765,中证全债指数,0.3
001766,000808,0.85
001770,000300,0.7
001770,中证全债指数,0.3
001780,000300,0.6
001780,中证全债指数,0.4
001781,H30074,0.85
001782,000300,0.7
001789,000012,0.4
001789,000300,0.6
001790,399976,0.8
001790,中证全债指数,0.2
001796,000300,0.5
001797,000300,0.3
001798,000300,0.3
001799,000300,0.3
001800,000300,0.6
001801,000300,0.5
001802,000300,0.25
001803,000300,0.25
001806,000300,0.25
001807,000300,0.25
001808,H30535,0.5
001808,中证全债指数,0.5
001809,000300,0.6
001810,000905,0.6
001811,000300,0.6
001811,930930,0.2
001815,000012,0.3
001815,000300,0.7
001816,000300,0.5
001817,000300,0.25
001818,000300,0.25
001822,000012,0.35
001822,000906,0.65
001825,000300,0.8
001825,中证全债指数,0.2
